session,combo,n_ind,stop,trades,win_rate,pnl,avg_win,avg_loss,max_dd,consec_L,sharpe,exp,score
13:00-17:00,MACD+RSI,2,40,180,20.0,-15120.0,396.0,-204.0,-15684.0,15,-0.58,-84.0,-9999.0
13:00-17:00,MACD+RSI,2,30,184,19.0,-12586.0,296.0,-154.0,-12586.0,20,-0.57,-68.4,-9999.0
13:00-17:00,MACD+RSI,2,20,187,12.3,-12548.0,196.0,-104.0,-12548.0,21,-1.01,-67.1,-9999.0
13:00-17:00,MACD+VWAP,2,40,86,22.1,-6144.0,396.0,-204.0,-8100.0,23,-0.31,-71.4,-9999.0
13:00-17:00,STOCH+BB+VOL,3,40,203,21.2,-15612.0,396.0,-204.0,-15612.0,11,-0.54,-76.9,-9999.0
13:00-17:00,MACD+VWAP,2,20,86,10.5,-6244.0,196.0,-104.0,-6244.0,33,-0.81,-72.6,-9999.0
13:00-17:00,BB+VOL,2,40,182,16.5,-19128.0,396.0,-204.0,-19512.0,25,-0.73,-105.1,-9999.0
13:00-17:00,BB+VOL,2,30,187,14.4,-16648.0,296.0,-154.0,-16648.0,29,-0.88,-89.0,-9999.0
13:00-17:00,BB+VOL,2,20,187,7.5,-15248.0,196.0,-104.0,-15248.0,50,-1.48,-81.5,-9999.0
13:00-17:00,BB+RSI,2,40,192,22.4,-13368.0,396.0,-204.0,-13740.0,13,-0.46,-69.6,-9999.0
13:00-17:00,BB+RSI,2,30,195,17.9,-14280.0,296.0,-154.0,-14280.0,19,-0.68,-73.2,-9999.0
13:00-17:00,BB+RSI,2,20,196,10.2,-14384.0,196.0,-104.0,-14384.0,42,-1.23,-73.4,-9999.0
13:00-17:00,BB+VWAP,2,40,64,21.9,-4656.0,396.0,-204.0,-5040.0,7,-0.4,-72.8,-9999.0
13:00-17:00,MACD+VWAP,2,30,86,25.6,-3344.0,296.0,-154.0,-4800.0,16,-0.23,-38.9,-9999.0
13:00-17:00,STOCH+BB+VOL,3,30,211,18.5,-14944.0,296.0,-154.0,-14944.0,14,-0.75,-70.8,-9999.0
13:00-17:00,STOCH+BB+VOL,3,20,214,11.2,-15056.0,196.0,-104.0,-15056.0,29,-1.29,-70.4,-9999.0
13:00-17:00,STOCH+BB+RSI,3,40,227,20.7,-18108.0,396.0,-204.0,-18300.0,14,-0.65,-79.8,-9999.0
13:00-17:00,STOCH+BB+RSI,3,30,234,17.1,-18036.0,296.0,-154.0,-18178.0,20,-0.84,-77.1,-9999.0
13:00-17:00,STOCH+BB+RSI,3,20,235,11.1,-16640.0,196.0,-104.0,-16732.0,23,-1.32,-70.8,-9999.0
13:00-17:00,STOCH+BB+VWAP,3,40,140,20.0,-11760.0,396.0,-204.0,-11760.0,11,-0.51,-84.0,-9999.0
13:00-17:00,STOCH+BB+VWAP,3,30,143,14.7,-12572.0,296.0,-154.0,-12572.0,18,-0.87,-87.9,-9999.0
13:00-17:00,STOCH+BB+VWAP,3,20,143,8.4,-11272.0,196.0,-104.0,-11272.0,31,-1.19,-78.8,-9999.0
13:00-17:00,VWAP+RSI,2,30,177,18.1,-12858.0,296.0,-154.0,-12858.0,17,-0.61,-72.6,-9999.0
13:00-17:00,STOCH+BB+MACD,3,30,166,17.5,-12514.0,296.0,-154.0,-12656.0,16,-0.75,-75.4,-9999.0
13:00-17:00,STOCH+BB+MACD,3,20,168,10.7,-12072.0,196.0,-104.0,-12072.0,29,-1.11,-71.9,-9999.0
13:00-17:00,RSI+VOL,2,40,210,19.5,-18240.0,396.0,-204.0,-18240.0,13,-0.67,-86.9,-9999.0
13:00-17:00,RSI+VOL,2,30,214,18.2,-15406.0,296.0,-154.0,-15772.0,19,-0.72,-72.0,-9999.0
13:00-17:00,RSI+VOL,2,20,216,10.6,-15564.0,196.0,-104.0,-15564.0,30,-1.34,-72.1,-9999.0
13:00-17:00,VWAP+VOL,2,40,171,19.3,-15084.0,396.0,-204.0,-15468.0,25,-0.59,-88.2,-9999.0
13:00-17:00,VWAP+VOL,2,30,176,16.5,-14054.0,296.0,-154.0,-14196.0,27,-0.76,-79.9,-9999.0
13:00-17:00,VWAP+VOL,2,20,176,6.8,-14704.0,196.0,-104.0,-14704.0,49,-1.36,-83.5,-9999.0
13:00-17:00,VWAP+RSI,2,40,172,21.5,-12888.0,396.0,-204.0,-13284.0,13,-0.5,-74.9,-9999.0
